S No.,Brand,City - Cold Weather *(km),Highway - Cold Weather *(km),Combined - Cold Weather *(km),City - Mild Weather *(km),Highway - Mild Weather *(km),Combined - Mild Weather *(km),Acceleration 0 - 100 km/h(sec),Top Speed(km/h),Electric Range *(km),Total Power(kW),Total Torque(Nm),Drive,Nominal Capacity(kWh),Range(km),Rated Consumption(Wh/km),Vehicle Consumption(Wh/km),Length(mm),Width(mm),Height(mm),Wheelbase(mm),Gross Vehicle Weight (GVWR),Max. Payload,Cargo Voume
123,MG,270,185,225,405,240,305,8.6,175,265,130,280,Front,51.1,320,173,153,4323,1809,1649,2581,2060,490,448
124,NIO,375,290,335,560,380,460,3.8,200,400,480,850,AWD,75,445,193,158,5101,1987,1509,3060,2900,541,363
125,Honda ,165,120,140,255,155,195,8.3,145,170,113,315,Rear,35.5,222,172,128,3894,1752,1512,2538,1870,350,171
126,Kia,475,335,400,680,425,530,9.4,185,470,150,350,Rear,105,541,210,184,5010,1980,1755,3100,3070,644,333
127,Lotus,455,335,395,645,420,515,2.9,260,460,675,985,AWD,112,490,280,218,5103,2000,1636,3019,2910,589,611
128,Smart,315,225,265,460,285,355,3.9,180,315,315,584,AWD,66,400,179,155,4300,1822,1636,2750,2325,400,313
129,Mercedes,555,435,495,820,565,675,4.8,210,590,330,855,AWD,120,672,176,160,4863,1940,1685,3030,3095,610,520
130,Hyundai,340,260,300,530,345,425,8.8,185,365,111,350,Rear,58,429,139,126,4855,1880,1495,2950,2280,505,401
131,Volkswagen,280,200,240,420,260,325,9,160,285,125,310,Rear,55,346,167,150,4584,1852,1640,2771,2470,580,543
132,Renault,255,185,215,390,240,300,10,150,260,96,250,Front,43.3,300,158,133,4200,1860,1505,2685,2116,492,440
133,BYD,255,180,215,380,230,290,8,160,255,130,255,Front,46,310,154,145,4290,1770,1570,2700,2325,400,345
134,Mercedes,345,250,295,510,320,400,7.7,160,350,168,390,AWD,69.7,438,175,152,4463,1834,1620,2729,2535,505,340
135,Lucid,625,495,560,945,645,775,3,270,675,597,1200,AWD,112,839,149,133,4975,1939,1410,2960,2670,519,456
136,Mercedes,570,445,510,845,580,700,5.6,210,605,265,800,AWD,120,784,176,138,5216,1926,1512,3210,3060,520,610
